station,time,air_pressure_at_sea_level,air_temperature,wind_speed
SN10380,2023-05-25 00:00:00+00:00,1017.3,-3.0,1.0
SN10380,2023-05-25 01:00:00+00:00,1017.6,-2.0,1.5
SN10380,2023-05-25 02:00:00+00:00,1018.1,-2.6,1.8
SN10380,2023-05-25 03:00:00+00:00,1018.8,-1.0,1.0
SN10380,2023-05-25 04:00:00+00:00,1018.0,2.0,1.7
SN10380,2023-05-25 05:00:00+00:00,1017.9,3.0,2.1
SN10380,2023-05-25 06:00:00+00:00,1017.7,5.0,3.1
SN10380,2023-05-25 07:00:00+00:00,1018.0,7.0,3.6
SN10380,2023-05-25 08:00:00+00:00,1017.8,7.0,5.7
SN10380,2023-05-25 09:00:00+00:00,1017.6,8.0,6.2
SN10380,2023-05-25 10:00:00+00:00,1017.8,8.0,7.4
SN10380,2023-05-25 11:00:00+00:00,1017.8,8.0,6.8
SN10380,2023-05-25 12:00:00+00:00,1018.1,8.0,6.7
SN10380,2023-05-25 13:00:00+00:00,1018.1,8.0,6.0
SN10380,2023-05-25 14:00:00+00:00,1017.4,8.1,6.2
SN10380,2023-05-25 15:00:00+00:00,1017.0,9.0,5.7
SN10380,2023-05-25 16:00:00+00:00,1016.4,8.0,5.1
SN10380,2023-05-25 17:00:00+00:00,1016.6,6.5,5.0
SN10380,2023-05-25 18:00:00+00:00,1016.1,6.0,1.8
SN10380,2023-05-25 19:00:00+00:00,1015.5,6.1,2.5
SN10380,2023-05-25 20:00:00+00:00,1015.0,5.5,3.1
SN10380,2023-05-25 21:00:00+00:00,1015.0,4.6,3.1
SN10380,2023-05-25 22:00:00+00:00,1015.4,3.0,3.6
SN10380,2023-05-25 23:00:00+00:00,1017.0,2.0,7.2
SN10380,2023-05-26 00:00:00+00:00,1018.2,1.0,5.1
SN10380,2023-05-26 01:00:00+00:00,1019.8,0.0,3.7
SN10380,2023-05-26 02:00:00+00:00,1019.6,1.0,2.8
SN10380,2023-05-26 03:00:00+00:00,1019.7,1.0,5.7
SN10380,2023-05-26 04:00:00+00:00,1020.4,1.0,6.7
SN10380,2023-05-26 05:00:00+00:00,1020.6,2.0,5.7
SN10380,2023-05-26 06:00:00+00:00,1021.5,3.0,6.7
SN10380,2023-05-26 07:00:00+00:00,1021.9,3.3,8.2
SN10380,2023-05-26 08:00:00+00:00,1022.3,4.0,8.2
SN10380,2023-05-26 09:00:00+00:00,1023.1,4.0,8.3
SN10380,2023-05-26 10:00:00+00:00,1023.9,4.0,9.1
SN10380,2023-05-26 11:00:00+00:00,1023.8,6.0,8.4
SN10380,2023-05-26 12:00:00+00:00,1024.1,6.0,9.1
SN10380,2023-05-26 13:00:00+00:00,1023.7,6.7,9.5
SN10380,2023-05-26 14:00:00+00:00,1024.4,6.0,9.2
SN10380,2023-05-26 15:00:00+00:00,1023.9,6.9,7.2
SN10380,2023-05-26 16:00:00+00:00,1024.7,6.0,7.2
SN10380,2023-05-26 17:00:00+00:00,1023.7,7.0,5.7
SN10380,2023-05-26 18:00:00+00:00,1023.5,6.4,5.4
SN10380,2023-05-26 19:00:00+00:00,1023.9,5.0,3.4
SN10380,2023-05-26 20:00:00+00:00,1024.2,4.5,3.1
SN10380,2023-05-26 21:00:00+00:00,1024.8,4.0,3.1
SN10380,2023-05-26 22:00:00+00:00,1024.8,3.1,2.1
SN10380,2023-05-26 23:00:00+00:00,1024.9,1.5,2.2
SN10380,2023-05-27 00:00:00+00:00,1025.0,1.0,0.6
SN10380,2023-05-27 01:00:00+00:00,1024.6,1.0,0.7
SN10380,2023-05-27 02:00:00+00:00,1024.2,1.0,0.6
SN10380,2023-05-27 03:00:00+00:00,1023.5,2.0,0.5
SN10380,2023-05-27 04:00:00+00:00,1022.8,3.0,1.3
SN10380,2023-05-27 05:00:00+00:00,1021.9,5.0,2.6
SN10380,2023-05-27 06:00:00+00:00,1021.1,6.0,1.7
SN10380,2023-05-27 07:00:00+00:00,1020.4,8.0,2.6
SN10380,2023-05-27 08:00:00+00:00,1019.3,12.0,2.6
SN10380,2023-05-27 09:00:00+00:00,1017.1,13.0,5.1
SN10380,2023-05-27 10:00:00+00:00,1015.7,14.0,5.6
SN10380,2023-05-27 11:00:00+00:00,1015.3,13.2,6.2
SN10380,2023-05-27 12:00:00+00:00,1014.2,13.1,6.5
SN10380,2023-05-27 13:00:00+00:00,1013.7,12.8,7.1
SN10380,2023-05-27 14:00:00+00:00,1014.7,9.0,3.4
SN10380,2023-05-27 15:00:00+00:00,1013.6,9.0,3.9
SN10380,2023-05-27 16:00:00+00:00,1012.8,8.0,3.1
SN10380,2023-05-27 17:00:00+00:00,1011.3,9.0,2.6
SN10380,2023-05-27 18:00:00+00:00,1010.1,9.0,3.9
SN10380,2023-05-27 19:00:00+00:00,1009.1,9.0,4.6
