id,name,countryCode,masl,lon,lat
SN47230,ÅKRA UNGDOMSSKOLE,NO,18.0,5.1963,59.2555
SN23670,E16 RYFOSS,NO,406.0,8.8175,61.1375
SN59450,STADLANDET,NO,75.0,5.2115,62.1467
SN12590,E6 MJØSBRUA,NO,128.0,10.6725,60.928
SN26640,E134 DARBU,NO,155.0,9.7773,59.7025
SN67650,FV30 REITSTØA,NO,218.0,10.8718,62.9637
SN18269,OSLO - HAUGENSTUA,NO,123.0,10.9035,59.9535
SN57790,MYKLEBUSTFJELLET,NO,715.0,5.2007,61.6788
SN99895,KVADEHUKEN II,SJ,5.0,11.3475,78.9633
SN233100,HUNGE,SE,343.0,15.0877777777778,62.7513888888889
SN61065,E136 TRESFJORDBRUA,NO,20.0,7.1135,62.6112
SN1039300,LINDENBERG,DE,112.0,14.1206,52.20925
SN743400,LIMOGES-BELLEGARDE,FR,396.0,1.175,45.8611111111111
SN27600,SANDEFJORD,NO,6.0,10.2147,59.132
SN18700,OSLO - BLINDERN,NO,94.0,10.72,59.9423
SN87110,ANDØYA,NO,10.0,16.1312,69.3073
SN40905,RV9 HOVDEN,NO,915.0,7.4553,59.6407
SN27295,FV307 GRAVDAL,NO,20.0,10.1975,59.3037
SN40250,VALLE,NO,308.0,7.5273,59.1972
SN224720,FORSE,SE,120.0,17.0262,63.1466
SN43220,FV44 SÆLEBØ,NO,205.0,6.1937,58.3798
SN19660,E16 SKUI,NO,250.0,10.3855,59.9475
SN18260,OSLO - HØYBRÅTEN,NO,181.0,10.9257,59.9468
SN49240,RV13 LÅTEFOSS ,NO,205.0,6.5832,59.9487
SN1240000,ZIELONA GORA,PL,192.0,15.5244444444444,51.9302777777778
SN623500,DE KOOIJ VK,NL,1.0,4.78111111111111,52.9269444444444
SN52990,ORTNEVIK,NO,4.0,6.134,61.1095
SN5350,NORD-ODAL,NO,147.0,11.558,60.3883
SN76963,KRISTINFELTET,NO,,6.5513,64.994
SN92170,OKSFJORD,NO,45.0,21.437,69.888
SN62240,E39 LØNNSET,NO,15.0,7.3702,62.7603
SN80740,REIPÅ,NO,9.0,13.646,66.9035
SN226900,SKAGSUDDE,SE,11.0,19.0205555555556,63.1886111111111
SN848200,MALAGA/AEROPUERTO,ES,5.0,-4.48222222222222,36.6661111111111
SN27564,SANDEFJORD - MOSSERØD,NO,72.0,10.2025,59.1505
SN241300,BRATTMON,SE,205.0,12.772131147541,60.7569444444444
SN1070,HVALER - BREKKE,NO,20.0,11.0322,59.0418
SN1298200,SZEGED,HU,81.0,20.0905556,46.2561111
SN350200,ABERPORTH,GB,133.0,-4.57111111111111,52.1394444444444
SN71230,FV755 MELTINGEN,NO,225.0,10.7303,63.7905
SN26990,SANDE - GALLEBERG,NO,60.0,10.215,59.6193
SN255700,HORN,SE,90.0,15.8655555555556,57.8863888888889
SN810,TUFSINGDAL - MIDTDAL,NO,687.0,11.732,62.2776
SN55520,FV55 INDRE HAFSLO,NO,249.0,7.2623,61.345
SN60670,FV650 LIABYGDA,NO,318.0,7.0663,62.3285
SN63595,RV70 GRÅURA,NO,212.0,9.2136,62.5818
SN90250,E6 HEIA,NO,230.0,19.0503,69.1448
SN76954,GJØAFELTET,NO,0.0,3.897,61.3322
SN242610,FREDRIKSBERG,SE,305.0,14.2145,60.1418
SN76927,OSEBERG A,NO,83.0,2.8257,60.4913
SN34580,DRANGEDAL-REFSDALSKILEN,NO,65.0,9.0687,59.0767
SN76245,FV17 VÅG,NO,18.0,12.1457,65.2702
SN26864,DRAMMEN SYKEHUS,NO,25.0,10.195,59.7497
SN55260,FV55 HERVAVATN,NO,1304.0,7.8702,61.5482
SN19830,FV289 HURUM,NO,165.0,10.4922,59.548
SN44485,E39 SØYLAND,NO,230.0,5.9877,58.6833
