id,name,lon,lat
SN47230,ÅKRA UNGDOMSSKOLE,5.1963,59.2555
SN23670,E16 RYFOSS,8.8175,61.1375
SN59450,STADLANDET,5.2115,62.1467
SN12590,E6 MJØSBRUA,10.6725,60.928
SN26640,E134 DARBU,9.7773,59.7025
SN67650,FV30 REITSTØA,10.8718,62.9637
SN18269,OSLO - HAUGENSTUA,10.9035,59.9535
SN57790,MYKLEBUSTFJELLET,5.2007,61.6788
SN99895,KVADEHUKEN II,11.3475,78.9633
SN233100,HUNGE,15.0877777777778,62.7513888888889
SN61065,E136 TRESFJORDBRUA,7.1135,62.6112
SN1039300,LINDENBERG,14.1206,52.20925
SN743400,LIMOGES-BELLEGARDE,1.175,45.8611111111111
SN27600,SANDEFJORD,10.2147,59.132
SN18700,OSLO - BLINDERN,10.72,59.9423
SN87110,ANDØYA,16.1312,69.3073
SN40905,RV9 HOVDEN,7.4553,59.6407
SN27295,FV307 GRAVDAL,10.1975,59.3037
SN40250,VALLE,7.5273,59.1972
SN224720,FORSE,17.0262,63.1466
SN43220,FV44 SÆLEBØ,6.1937,58.3798
SN19660,E16 SKUI,10.3855,59.9475
SN18260,OSLO - HØYBRÅTEN,10.9257,59.9468
SN49240,RV13 LÅTEFOSS ,6.5832,59.9487
SN1240000,ZIELONA GORA,15.5244444444444,51.9302777777778
SN623500,DE KOOIJ VK,4.78111111111111,52.9269444444444
SN52990,ORTNEVIK,6.134,61.1095
SN5350,NORD-ODAL,11.558,60.3883
SN76963,KRISTINFELTET,6.5513,64.994
SN92170,OKSFJORD,21.437,69.888
SN62240,E39 LØNNSET,7.3702,62.7603
SN80740,REIPÅ,13.646,66.9035
SN226900,SKAGSUDDE,19.0205555555556,63.1886111111111
SN848200,MALAGA/AEROPUERTO,-4.48222222222222,36.6661111111111
SN27564,SANDEFJORD - MOSSERØD,10.2025,59.1505
SN241300,BRATTMON,12.772131147541,60.7569444444444
SN1070,HVALER - BREKKE,11.0322,59.0418
SN1298200,SZEGED,20.0905556,46.2561111
SN350200,ABERPORTH,-4.57111111111111,52.1394444444444
SN71230,FV755 MELTINGEN,10.7303,63.7905
SN26990,SANDE - GALLEBERG,10.215,59.6193
SN255700,HORN,15.8655555555556,57.8863888888889
SN810,TUFSINGDAL - MIDTDAL,11.732,62.2776
SN55520,FV55 INDRE HAFSLO,7.2623,61.345
SN60670,FV650 LIABYGDA,7.0663,62.3285
SN63595,RV70 GRÅURA,9.2136,62.5818
SN90250,E6 HEIA,19.0503,69.1448
SN76954,GJØAFELTET,3.897,61.3322
SN242610,FREDRIKSBERG,14.2145,60.1418
SN76927,OSEBERG A,2.8257,60.4913
SN34580,DRANGEDAL-REFSDALSKILEN,9.0687,59.0767
SN76245,FV17 VÅG,12.1457,65.2702
SN26864,DRAMMEN SYKEHUS,10.195,59.7497
SN55260,FV55 HERVAVATN,7.8702,61.5482
SN19830,FV289 HURUM,10.4922,59.548
SN44485,E39 SØYLAND,5.9877,58.6833
SN76936,SNORRE B,2.2097,61.525
SN231700,DRAVAGEN,13.6116666666667,62.0944444444444
SN26900,DRAMMEN - BERSKOG,10.1207,59.7538
SN27214,VÅLE,10.2799816,59.4109629
SN19525,BÆRUMS VERK,10.515,59.9383
SN50505,KV5738 NATTLANDSFJELLET,5.3713,60.3452
SN79215,E6 YTTERVIKA,13.8728,66.2298
SN61630,BJORLI,8.2,62.2583
SN31700,FV37 JØNJILJO,8.9267,59.8703
